# CSV-File created with merge-csv.com
# -----------------------------------------------------------

date,region,county,city,gt_airbnb,gt_hotel,gt_flights,gt_attr1,gt_attr2,gt_attr3,wiki_views
2022-11-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.19,0.18681318681318684,0.19101123595505617,0.0,0.0,0.0,0.3128893148059416
2022-12-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.27,0.18681318681318684,0.20224719101123598,0.0,0.0,0.0,0.36799233349305227
2023-01-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.78,0.4835164835164836,0.5617977528089888,0.0,0.0,0.22,0.4494489698131289
2023-02-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.65,0.4285714285714286,0.4831460674157303,0.0,0.0,0.26,0.22232870148538575
2023-03-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.63,0.4835164835164836,0.5168539325842697,0.0,0.0,0.35000000000000003,0.25634882606612364
2023-04-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.72,0.5384615384615385,0.550561797752809,0.0,0.0,0.29,0.22759942501197894
2023-05-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.81,0.5934065934065935,0.5842696629213483,0.0,0.0,0.6,0.6444657402970773
2023-06-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.8300000000000001,0.7032967032967034,0.6067415730337079,0.0,0.0,0.42,0.3282223287014854
2023-07-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.91,0.8351648351648353,0.6629213483146067,0.9400000000000001,0.0,0.79,0.345951126018208
2023-08-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.61,0.6153846153846154,0.4831460674157303,0.0,0.0,0.49,0.4326784858648779
2023-09-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.38,0.46153846153846156,0.3707865168539326,0.0,0.0,0.5700000000000001,0.34499281264973647
2023-10-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.25,0.2637362637362638,0.19101123595505617,0.0,0.0,0.24,0.2956396741734547
2023-11-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.22,0.18681318681318684,0.15730337078651688,0.0,0.0,0.0,0.26209870627695264
2023-12-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.22,0.2087912087912088,0.20224719101123598,0.0,0.0,0.35000000000000003,0.21801629132726408
2024-01-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.52,0.39560439560439564,0.4831460674157303,0.0,0.0,0.0,0.36655486344034505
2024-02-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.44,0.4725274725274726,0.5056179775280899,0.0,0.0,0.43,0.6128413991375181
2024-03-01,Adriatic Croatia,Splitsko-dalmatinska županija,Split,0.58,0.5164835164835165,0.4831460674157303,0.0,0.0,0.35000000000000003,0.28605654048873985
