date,country,city,gt_airbnb,gt_hotel,gt_flights,gt_attraction_1,gt_attraction_2,gt_attraction_3,nights_spent,gt_combined,is_arrival_shock,is_attention_spike,attn_led_arrival
2022-06-01,Spain,andalusia,0,2,6,81,2,2,48649387.0,15.5,1,0,1
2022-07-01,Spain,andalusia,0,2,7,84,2,2,63965423.0,16.166666666666668,1,0,0
2022-08-01,Spain,andalusia,0,2,5,91,1,2,72032841.0,16.833333333333332,1,0,0
2022-09-01,Spain,andalusia,0,2,5,82,2,2,49012409.0,15.5,0,0,0
2022-10-01,Spain,andalusia,0,2,5,88,2,2,39265874.0,16.5,0,0,0
2022-11-01,Spain,andalusia,0,2,4,81,1,3,23611518.0,15.166666666666666,0,0,0
2022-12-01,Spain,andalusia,0,1,3,73,1,3,23056834.0,13.5,0,0,0
2023-01-01,Spain,andalusia,0,1,4,77,1,8,21452922.0,15.166666666666666,0,0,0
2023-02-01,Spain,andalusia,0,2,5,78,1,13,23000407.0,16.5,0,0,0
2023-03-01,Spain,andalusia,0,2,5,86,2,21,27550793.0,19.333333333333332,0,0,0
2023-04-01,Spain,andalusia,0,2,5,100,2,100,38929992.0,34.833333333333336,0,1,0
2023-05-01,Spain,andalusia,0,2,5,73,2,10,42696790.0,15.333333333333334,0,0,0
2023-06-01,Spain,andalusia,0,2,5,84,2,2,49720530.0,15.833333333333334,0,0,0
2023-07-01,Spain,andalusia,0,2,6,80,2,2,64451123.0,15.333333333333334,1,0,0
2023-08-01,Spain,andalusia,0,2,7,87,2,3,72495554.0,16.833333333333332,1,0,0
2023-09-01,Spain,andalusia,0,2,5,90,2,3,51485539.0,17.0,0,0,0
2023-10-01,Spain,andalusia,0,3,5,95,3,3,42557520.0,18.166666666666668,0,0,0
2023-11-01,Spain,andalusia,0,2,4,82,2,3,25542702.0,15.5,0,0,0
2023-12-01,Spain,andalusia,0,2,4,85,1,4,25026456.0,16.0,0,0,0
2024-01-01,Spain,andalusia,0,2,5,79,1,10,22812617.0,16.166666666666668,0,0,0
2024-02-01,Spain,andalusia,0,2,5,86,2,15,25168963.0,18.333333333333332,0,0,0
2024-03-01,Spain,andalusia,0,2,5,91,3,22,33696858.0,20.5,0,0,0
2024-04-01,Spain,andalusia,0,2,5,88,3,81,36094089.0,29.833333333333332,0,1,0
2024-05-01,Spain,andalusia,0,2,5,79,3,14,47236039.0,17.166666666666668,0,0,0
2024-06-01,Spain,andalusia,0,2,5,77,2,2,52253673.0,14.666666666666666,0,0,0
2024-07-01,Spain,andalusia,0,2,6,78,1,2,65504997.0,14.833333333333334,0,0,0
2024-08-01,Spain,andalusia,0,2,6,84,2,2,73791179.0,16.0,1,0,0
2024-09-01,Spain,andalusia,0,2,6,97,3,3,52868884.0,18.5,0,0,0
2024-10-01,Spain,andalusia,0,2,5,88,3,3,43871373.0,16.833333333333332,0,0,0
2024-11-01,Spain,andalusia,0,2,5,76,2,3,26806814.0,14.666666666666666,0,0,0
2024-12-01,Spain,andalusia,0,1,4,73,2,4,24979937.0,14.0,0,0,0
2025-01-01,Spain,andalusia,0,2,5,73,1,9,23619948.0,15.0,0,0,0
2025-02-01,Spain,andalusia,0,2,5,81,2,11,25264418.0,16.833333333333332,0,0,0
2025-03-01,Spain,andalusia,0,2,5,78,2,21,30251402.0,18.0,0,0,0
2025-04-01,Spain,andalusia,0,2,5,91,3,52,39809109.0,25.5,0,0,0
2025-05-01,Spain,andalusia,0,2,4,76,2,36,47170360.0,20.0,0,0,0
2025-06-01,Spain,andalusia,0,3,5,71,2,2,54175564.0,13.833333333333334,0,0,0
2025-07-01,Spain,andalusia,0,2,6,75,2,2,67091411.0,14.5,0,0,0
2025-08-01,Spain,andalusia,0,3,6,89,2,2,74367338.0,17.0,1,0,0
2025-09-01,Spain,andalusia,0,3,5,85,3,3,53888369.0,16.5,0,0,0
2025-10-01,Spain,andalusia,0,3,5,82,3,3,44751911.0,16.0,0,0,0
2025-11-01,Spain,andalusia,0,2,7,80,3,4,27377889.0,16.0,0,0,0
2025-12-01,Spain,andalusia,0,2,6,71,2,4,25809552.0,14.166666666666666,0,0,0
2026-01-01,Spain,andalusia,0,2,6,70,2,11,24000682.0,15.166666666666666,0,0,0
2026-02-01,Spain,andalusia,0,2,6,76,2,14,,16.666666666666668,0,0,0
2020-01-01,Spain,canary,1,9,2,0,68,0,21539039.0,13.333333333333334,0,0,0
2020-02-01,Spain,canary,1,11,1,0,80,0,23579845.0,15.5,0,0,0
2020-03-01,Spain,canary,0,4,1,0,52,0,10975525.0,9.5,0,0,0
2020-04-01,Spain,canary,0,1,0,0,31,80,0.0,18.666666666666668,0,0,0
2020-05-01,Spain,canary,0,2,0,0,42,0,572162.0,7.333333333333333,0,0,0
2020-06-01,Spain,canary,1,5,0,0,54,0,3916553.0,10.0,0,0,0
2020-07-01,Spain,canary,1,7,0,0,63,0,21755739.0,11.833333333333334,0,0,0
2020-08-01,Spain,canary,1,8,0,0,73,0,31661014.0,13.666666666666666,0,0,0
2020-09-01,Spain,canary,0,6,0,0,56,0,13395196.0,10.333333333333334,0,0,0
2020-10-01,Spain,canary,0,4,0,0,54,0,7849462.0,9.666666666666666,0,0,0
2020-11-01,Spain,canary,0,3,0,0,51,0,4357310.0,9.0,0,0,0
2020-12-01,Spain,canary,0,3,0,0,52,0,5074994.0,9.166666666666666,0,0,0
2021-01-01,Spain,canary,0,3,0,0,55,0,3905773.0,9.666666666666666,0,0,0
2021-02-01,Spain,canary,0,4,0,0,53,0,3691649.0,9.5,0,0,0
2021-03-01,Spain,canary,0,5,0,0,51,0,5591945.0,9.333333333333334,0,0,0
2021-04-01,Spain,canary,0,5,0,0,56,0,6910432.0,10.166666666666666,0,0,0
2021-05-01,Spain,canary,1,7,0,0,60,0,11092892.0,11.333333333333334,0,0,0
2021-06-01,Spain,canary,1,11,0,0,66,0,21634497.0,13.0,0,0,0
2021-07-01,Spain,canary,1,11,0,0,81,0,42349731.0,15.5,1,0,0
2021-08-01,Spain,canary,1,11,0,0,82,0,56753849.0,15.666666666666666,1,0,0
2021-09-01,Spain,canary,0,8,0,1,82,0,36255305.0,15.166666666666666,0,0,0
2021-10-01,Spain,canary,0,6,0,0,72,0,32217680.0,13.0,0,0,0
2021-11-01,Spain,canary,0,7,0,0,70,0,20237815.0,12.833333333333334,0,0,0
2021-12-01,Spain,canary,0,6,0,0,71,0,18790741.0,12.833333333333334,0,0,0
2022-01-01,Spain,canary,1,7,0,0,83,0,15394675.0,15.166666666666666,0,0,0
2022-02-01,Spain,canary,1,8,1,0,82,0,18990282.0,15.333333333333334,0,0,0
2022-03-01,Spain,canary,1,9,0,0,82,0,23600888.0,15.333333333333334,0,0,0
2022-04-01,Spain,canary,1,9,0,0,83,0,34558347.0,15.5,0,0,0
2022-05-01,Spain,canary,1,10,0,0,78,0,39486464.0,14.833333333333334,0,0,0
2022-06-01,Spain,canary,1,11,1,0,84,0,48649387.0,16.166666666666668,1,0,0
2022-07-01,Spain,canary,1,12,1,0,100,0,63965423.0,19.0,1,1,0
2022-08-01,Spain,canary,1,11,0,0,90,0,72032841.0,17.0,1,0,1
2022-09-01,Spain,canary,0,9,1,0,87,0,49012409.0,16.166666666666668,0,0,0
2022-10-01,Spain,canary,0,7,0,0,74,0,39265874.0,13.5,0,0,0
2022-11-01,Spain,canary,1,6,0,0,74,0,23611518.0,13.5,0,0,0
2022-12-01,Spain,canary,1,6,1,0,79,0,23056834.0,14.5,0,0,0
2023-01-01,Spain,canary,1,8,1,0,81,94,21452922.0,30.833333333333332,0,1,0
2023-02-01,Spain,canary,1,7,1,0,84,0,23000407.0,15.5,0,0,0
2023-03-01,Spain,canary,1,8,1,0,80,0,27550793.0,15.0,0,0,0
2023-04-01,Spain,canary,1,9,1,0,84,0,38929992.0,15.833333333333334,0,0,0
2023-05-01,Spain,canary,0,8,0,0,82,0,42696790.0,15.0,0,0,0
2023-06-01,Spain,canary,1,9,1,0,85,0,49720530.0,16.0,0,0,0
2023-07-01,Spain,canary,1,10,0,0,98,0,64451123.0,18.166666666666668,1,0,0
2023-08-01,Spain,canary,1,9,1,0,92,0,72495554.0,17.166666666666668,1,0,0
2023-09-01,Spain,canary,0,6,0,0,76,0,51485539.0,13.666666666666666,0,0,0
2023-10-01,Spain,canary,0,7,0,0,81,0,42557520.0,14.666666666666666,0,0,0
2023-11-01,Spain,canary,1,7,0,0,77,0,25542702.0,14.166666666666666,0,0,0
2023-12-01,Spain,canary,0,5,0,0,82,0,25026456.0,14.5,0,0,0
2024-01-01,Spain,canary,1,8,1,0,85,0,22812617.0,15.833333333333334,0,0,0
2024-02-01,Spain,canary,1,7,1,0,82,0,25168963.0,15.166666666666666,0,0,0
2024-03-01,Spain,canary,1,7,1,0,80,0,33696858.0,14.833333333333334,0,0,0
2024-04-01,Spain,canary,1,7,0,0,75,0,36094089.0,13.833333333333334,0,0,0
2024-05-01,Spain,canary,0,7,0,0,74,0,47236039.0,13.5,0,0,0
2024-06-01,Spain,canary,0,8,0,0,78,0,52253673.0,14.333333333333334,0,0,0
2024-07-01,Spain,canary,0,8,0,0,82,0,65504997.0,15.0,0,0,0
2024-08-01,Spain,canary,0,9,0,0,87,0,73791179.0,16.0,1,0,0
2024-09-01,Spain,canary,0,7,0,0,83,0,52868884.0,15.0,0,0,0
2024-10-01,Spain,canary,0,5,0,0,75,0,43871373.0,13.333333333333334,0,0,0
2024-11-01,Spain,canary,0,5,0,0,79,0,26806814.0,14.0,0,0,0
2024-12-01,Spain,canary,0,5,0,0,78,0,24979937.0,13.833333333333334,0,0,0
2025-01-01,Spain,canary,1,6,1,0,77,0,23619948.0,14.166666666666666,0,0,0
2025-02-01,Spain,canary,0,6,0,0,81,0,25264418.0,14.5,0,0,0
2025-03-01,Spain,canary,0,7,0,0,85,0,30251402.0,15.333333333333334,0,0,0
2025-04-01,Spain,canary,0,6,0,0,85,0,39809109.0,15.166666666666666,0,0,0
2025-05-01,Spain,canary,0,6,0,0,78,0,47170360.0,14.0,0,0,0
2025-06-01,Spain,canary,0,7,0,0,76,0,54175564.0,13.833333333333334,0,0,0
2025-07-01,Spain,canary,0,7,0,0,94,0,67091411.0,16.833333333333332,0,0,0
2025-08-01,Spain,canary,0,7,0,0,86,0,74367338.0,15.5,1,0,0
2025-09-01,Spain,canary,0,5,0,0,80,0,53888369.0,14.166666666666666,0,0,0
2025-10-01,Spain,canary,0,5,0,0,77,0,44751911.0,13.666666666666666,0,0,0
2025-11-01,Spain,canary,0,5,1,0,83,0,27377889.0,14.833333333333334,0,0,0
2025-12-01,Spain,canary,0,5,1,0,82,0,25809552.0,14.666666666666666,0,0,0
2026-01-01,Spain,canary,0,6,1,0,83,0,24000682.0,15.0,0,0,0
2026-02-01,Spain,canary,0,6,1,0,86,100,,32.166666666666664,0,1,0
