Region ;City;Year;Country;January;February;March;April;May;June;July;August;September;October;November;December;
País Vasco;San Sebastián;2022;Spain;286.653;387.703;505.622;724.803;745.960;868.951;1.247.309;1.359.182;900.388;791.043;556.056;516.033;
Comunidad Foral de Navarra;Pamplona;2022;Spain;99.937;133.403;187.005;352.571;367.636;357.434;492.160;653.042;381.437;344.831;192.738;164.088;
La Rioja;Logroño;2022;Spain;40.599;62.046;75.648;142.334;126.877;147.709;229.040;286.573;157.766;138.827;88.399;84.331;
Aragón;Zaragoza;2022;Spain;439.493;504.792;514.572;720.986;574.065;696.502;1.115.416;1.474.193;739.459;681.511;392.778;528.344;
Comunidad de Madrid;Madrid;2022;Spain;1.431.148;1.700.696;2.020.055;2.411.705;2.424.897;2.470.305;2.420.153;2.194.440;2.456.581;2.654.819;2.260.860;2.258.260;
Castilla y León;Salamanca;2022;Spain;422.283;580.446;679.681;1.050.272;1.001.668;1.113.564;1.442.757;1.834.875;1.165.447;1.076.756;734.051;734.023;
Castilla-La Mancha;Toledo;2022;Spain;233.079;303.239;344.826;527.584;481.859;498.817;644.891;739.674;531.144;536.818;399.308;384.018;
Extremadura;Cáceres;2022;Spain;139.254;199.140;242.442;390.702;324.457;311.079;386.524;480.320;337.720;331.394;238.548;215.530;
Cataluña;Barcelona;2022;Spain;1.787.563;2.364.856;3.026.950;5.899.808;6.841.800;9.599.918;13.852.216;15.905.655;8.761.566;5.946.056;2.930.376;2.940.588;
Comunitat Valenciana;Valencia;2022;Spain;1.713.216;2.127.039;2.746.665;3.942.868;4.081.125;4.951.003;6.996.815;8.144.476;5.012.681;4.118.879;2.873.301;2.642.469;
Illes Balears;Palma;2022;Spain;161.732;365.051;915.860;3.150.770;7.427.314;10.551.103;12.419.613;12.917.743;10.280.887;6.418.737;458.751;306.183;
Andalucía;Sevilla;2022;Spain;2.221.757;3.084.845;3.774.069;5.754.912;6.289.718;7.113.865;9.085.188;10.349.393;7.425.522;5.898.581;3.460.024;3.187.449;
Región de Murcia;Cartagena;2022;Spain;249.403;298.877;326.741;450.075;410.480;487.708;686.985;819.919;444.882;408.231;306.258;302.875;
