geo,date,article,wiki_pageviews
JP,2021-01,Tourism_in_Japan,5302
JP,2021-02,Tourism_in_Japan,5064
JP,2021-03,Tourism_in_Japan,5879
JP,2021-04,Tourism_in_Japan,5385
JP,2021-05,Tourism_in_Japan,5779
JP,2021-06,Tourism_in_Japan,4823
JP,2021-07,Tourism_in_Japan,4389
JP,2021-08,Tourism_in_Japan,4369
JP,2021-09,Tourism_in_Japan,4544
JP,2021-10,Tourism_in_Japan,4706
JP,2021-11,Tourism_in_Japan,4378
JP,2021-12,Tourism_in_Japan,3846
JP,2022-01,Tourism_in_Japan,4587
JP,2022-02,Tourism_in_Japan,3945
JP,2022-03,Tourism_in_Japan,4393
JP,2022-04,Tourism_in_Japan,4158
JP,2022-05,Tourism_in_Japan,4764
JP,2022-06,Tourism_in_Japan,3599
JP,2022-07,Tourism_in_Japan,3868
JP,2022-08,Tourism_in_Japan,4050
JP,2022-09,Tourism_in_Japan,4718
JP,2022-10,Tourism_in_Japan,5334
JP,2022-11,Tourism_in_Japan,4866
JP,2022-12,Tourism_in_Japan,4766
JP,2023-01,Tourism_in_Japan,5351
JP,2023-02,Tourism_in_Japan,4769
JP,2023-03,Tourism_in_Japan,6688
JP,2023-04,Tourism_in_Japan,6463
JP,2023-05,Tourism_in_Japan,6087
JP,2023-06,Tourism_in_Japan,5977
JP,2023-07,Tourism_in_Japan,6352
JP,2023-08,Tourism_in_Japan,6687
JP,2023-09,Tourism_in_Japan,6703
JP,2023-10,Tourism_in_Japan,7273
JP,2023-11,Tourism_in_Japan,7678
JP,2023-12,Tourism_in_Japan,7133
JP,2024-01,Tourism_in_Japan,9681
JP,2024-02,Tourism_in_Japan,7313
JP,2024-03,Tourism_in_Japan,9095
JP,2024-04,Tourism_in_Japan,9313
JP,2024-05,Tourism_in_Japan,10224
JP,2024-06,Tourism_in_Japan,8702
JP,2024-07,Tourism_in_Japan,8916
JP,2024-08,Tourism_in_Japan,7861
JP,2024-09,Tourism_in_Japan,8039
JP,2024-10,Tourism_in_Japan,9047
JP,2024-11,Tourism_in_Japan,8785
JP,2024-12,Tourism_in_Japan,240
