geo,date,keyword,score
JP,2021-08,visit Japan,5
JP,2021-09,visit Japan,6
JP,2021-10,visit Japan,6
JP,2021-11,visit Japan,6
JP,2021-12,visit Japan,5
JP,2022-01,visit Japan,7
JP,2022-02,visit Japan,8
JP,2022-03,visit Japan,8
JP,2022-04,visit Japan,10
JP,2022-05,visit Japan,11
JP,2022-06,visit Japan,10
JP,2022-07,visit Japan,11
JP,2022-08,visit Japan,11
JP,2022-09,visit Japan,14
JP,2022-10,visit Japan,21
JP,2022-11,visit Japan,66
JP,2022-12,visit Japan,77
JP,2023-01,visit Japan,84
JP,2023-02,visit Japan,93
JP,2023-03,visit Japan,100
JP,2023-04,visit Japan,90
JP,2023-05,visit Japan,59
JP,2023-06,visit Japan,57
JP,2023-07,visit Japan,49
JP,2023-08,visit Japan,44
JP,2023-09,visit Japan,47
JP,2023-10,visit Japan,49
JP,2023-11,visit Japan,48
JP,2023-12,visit Japan,45
JP,2024-01,visit Japan,51
JP,2024-02,visit Japan,53
JP,2024-03,visit Japan,57
JP,2024-04,visit Japan,54
JP,2024-05,visit Japan,57
JP,2024-06,visit Japan,54
JP,2024-07,visit Japan,55
JP,2024-08,visit Japan,52
JP,2024-09,visit Japan,56
JP,2024-10,visit Japan,58
JP,2024-11,visit Japan,60
JP,2024-12,visit Japan,58
