geo,date,inbound_visitors,wiki_japan,wiki_tourism_japan,trend_japan_travel,trend_visit_japan
JP,2023-06,2073441.0,848599.0,5977.0,47.0,57.0
JP,2023-07,2320694.0,840411.0,6352.0,47.0,49.0
JP,2023-08,2157190.0,751067.0,6687.0,47.0,44.0
JP,2023-09,2184442.0,663725.0,6703.0,47.0,47.0
JP,2023-10,2516623.0,676675.0,7273.0,48.0,49.0
JP,2023-11,2440890.0,670751.0,7678.0,45.0,48.0
JP,2023-12,2734115.0,681816.0,7133.0,43.0,45.0
JP,2024-01,2688478.0,1077697.0,9681.0,59.0,51.0
JP,2024-02,2788224.0,667672.0,7313.0,54.0,53.0
JP,2024-03,3081781.0,744533.0,9095.0,58.0,57.0
JP,2024-04,3043003.0,747816.0,9313.0,55.0,54.0
JP,2024-05,3040294.0,615224.0,10224.0,54.0,57.0
JP,2024-06,3140642.0,486659.0,8702.0,52.0,54.0
JP,2024-07,3292602.0,492719.0,8916.0,51.0,55.0
JP,2024-08,2933381.0,571668.0,7861.0,55.0,52.0
JP,2024-09,2872487.0,508699.0,8039.0,56.0,56.0
JP,2024-10,3312193.0,537179.0,9047.0,56.0,58.0
JP,2024-11,3187175.0,602112.0,8785.0,57.0,60.0
JP,2024-12,3489888.0,,,58.0,58.0
